algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
RILSROLS,feynman_II_21_32,0.001,Feynman,0.0,1.0,7.988495260816768e-06,6.38160635426276e-11
RILSROLS,feynman_II_24_17,0.0,Feynman,0.0,1.0,0.0002698143517186832,7.279978177307911e-08
RILSROLS,feynman_II_24_17,0.001,Feynman,0.0,1.0,0.0027417499210473516,7.517164375529442e-06
RILSROLS,feynman_II_27_16,0.0,Feynman,100.0,1.0,4.0401582316902196e-14,0.0
RILSROLS,feynman_II_27_16,0.001,Feynman,0.0,1.0,4.0290318240622434e-14,0.0
RILSROLS,feynman_II_27_18,0.0,Feynman,100.0,1.0,1.1262878484266029e-14,0.0
RILSROLS,feynman_II_27_18,0.001,Feynman,0.0,1.0,1.1330059594850795e-14,0.0
RILSROLS,feynman_II_2_42,0.0,Feynman,70.0,1.0,3.0512479242571806e-15,0.0
RILSROLS,feynman_II_2_42,0.001,Feynman,0.0,1.0,0.0971119515577646,0.009386539413388092
RILSROLS,feynman_II_34_11,0.0,Feynman,100.0,1.0,1.9687388161616043e-15,0.0
RILSROLS,feynman_II_34_11,0.001,Feynman,0.0,1.0,0.00039984574578665364,1.5987660760670175e-07
RILSROLS,feynman_II_34_2,0.0,Feynman,100.0,1.0,3.98243591504744e-15,0.0
RILSROLS,feynman_II_34_2,0.001,Feynman,0.0,1.0,0.0016169434244459717,2.614502620075198e-06
RILSROLS,feynman_II_34_29a,0.0,Feynman,100.0,1.0,7.155027726687698e-09,0.0
RILSROLS,feynman_II_34_29a,0.001,Feynman,0.0,1.0,2.384198517448285e-05,5.68440183650851e-10
RILSROLS,feynman_II_34_29b,0.0,Feynman,100.0,1.0,1.3502067813357416e-07,1.82076576038524e-14
RILSROLS,feynman_II_34_29b,0.001,Feynman,0.0,1.0,0.016147464138196226,0.00026070661117230464
RILSROLS,feynman_II_34_2a,0.0,Feynman,100.0,1.0,1.4360834246695155e-08,2.2204460492503128e-16
RILSROLS,feynman_II_34_2a,0.001,Feynman,0.0,1.0,0.00011211554429692357,1.2569895267813386e-08
RILSROLS,feynman_II_35_18,0.0,Feynman,0.0,1.0,0.0031053935155590257,9.643422388597178e-06
RILSROLS,feynman_II_35_18,0.001,Feynman,0.0,0.5,inf,inf
RILSROLS,feynman_II_35_21,0.0,Feynman,0.0,0.0,0.4790466969904341,0.20659598268608628
RILSROLS,feynman_II_35_21,0.001,Feynman,0.0,0.0,0.5526024598887049,0.2664861261237107
RILSROLS,feynman_II_36_38,0.0,Feynman,30.0,0.0,0.09885828311672819,0.009725513643858348
RILSROLS,feynman_II_36_38,0.001,Feynman,0.0,0.5,0.1595640211389268,0.025141952443583835
RILSROLS,feynman_II_37_1,0.0,Feynman,100.0,1.0,1.0082607523139818e-14,0.0
RILSROLS,feynman_II_37_1,0.001,Feynman,0.0,1.0,1.0152805937724707e-14,0.0
RILSROLS,feynman_II_38_14,0.0,Feynman,100.0,1.0,8.389595066376455e-17,0.0
RILSROLS,feynman_II_38_14,0.001,Feynman,0.0,1.0,8.62352988571311e-05,7.4365267000933436e-09
RILSROLS,feynman_II_38_3,0.0,Feynman,100.0,1.0,3.9619328230663106e-15,0.0
RILSROLS,feynman_II_38_3,0.001,Feynman,0.0,1.0,3.9107221993195295e-15,0.0
RILSROLS,feynman_II_3_24,0.0,Feynman,100.0,1.0,1.4365128208969008e-09,0.0
RILSROLS,feynman_II_3_24,0.001,Feynman,0.0,1.0,2.0346049216865136e-05,4.1396175367894236e-10
RILSROLS,feynman_II_4_23,0.0,Feynman,100.0,1.0,9.887948123465023e-10,0.0
RILSROLS,feynman_II_4_23,0.001,Feynman,0.0,1.0,1.0356208580410255e-05,1.0725109688671752e-10
RILSROLS,feynman_II_6_11,0.0,Feynman,90.0,1.0,4.410949389681952e-10,0.0
RILSROLS,feynman_II_6_11,0.001,Feynman,0.0,1.0,3.2360648337684347e-06,1.0472067657419495e-11
RILSROLS,feynman_II_6_15a,0.0,Feynman,0.0,1.0,0.007159497291100771,5.125708779439322e-05
RILSROLS,feynman_II_6_15a,0.001,Feynman,0.0,0.5,0.010931981469529894,0.00011950107831180509
RILSROLS,feynman_II_6_15b,0.0,Feynman,0.0,1.0,7.068768915407011e-10,0.0
RILSROLS,feynman_II_6_15b,0.001,Feynman,0.0,1.0,5.56575194420975e-06,3.097766487721623e-11
RILSROLS,feynman_II_8_31,0.0,Feynman,100.0,1.0,5.708584796919623e-15,0.0
RILSROLS,feynman_II_8_31,0.001,Feynman,0.0,1.0,0.0008546332417428039,7.303977111367442e-07
RILSROLS,feynman_II_8_7,0.0,Feynman,80.0,1.0,7.35298293724408e-09,0.0
RILSROLS,feynman_II_8_7,0.001,Feynman,0.0,1.0,1.0065728823775078e-05,1.0131895322215903e-10
RILSROLS,feynman_I_10_7,0.0,Feynman,0.0,1.0,0.0005679577206928286,3.225759205723743e-07
RILSROLS,feynman_I_10_7,0.001,Feynman,0.0,1.0,0.0007342948976795785,5.391888514219551e-07
RILSROLS,feynman_I_11_19,0.0,Feynman,90.0,1.0,5.060785766988954e-15,0.0
RILSROLS,feynman_I_11_19,0.001,Feynman,0.0,1.0,5.060785766988954e-15,0.0
RILSROLS,feynman_I_12_1,0.0,Feynman,100.0,1.0,2.1298180064259244e-15,0.0
RILSROLS,feynman_I_12_1,0.001,Feynman,0.0,1.0,9.663879763828095e-05,9.339057261659744e-09
RILSROLS,feynman_I_12_11,0.0,Feynman,100.0,1.0,9.837195117618838e-15,0.0
RILSROLS,feynman_I_12_11,0.001,Feynman,0.0,1.0,0.0012049475993976622,1.4518976632490083e-06
RILSROLS,feynman_I_12_2,0.0,Feynman,100.0,1.0,2.069959855223776e-09,0.0
RILSROLS,feynman_I_12_2,0.001,Feynman,0.0,1.0,1.248937990279977e-05,1.559845585908295e-10
RILSROLS,feynman_I_12_4,0.0,Feynman,100.0,1.0,6.470765110295991e-10,0.0
RILSROLS,feynman_I_12_4,0.001,Feynman,0.0,1.0,7.536147789939258e-06,5.679345882308713e-11
RILSROLS,feynman_I_12_5,0.0,Feynman,100.0,1.0,2.1275326383645277e-15,0.0
RILSROLS,feynman_I_12_5,0.001,Feynman,0.0,1.0,0.0012926163602096268,1.670855658834054e-06
RILSROLS,feynman_I_13_12,0.0,Feynman,20.0,1.0,0.22247013580980396,0.0483071535645243
RILSROLS,feynman_I_13_12,0.001,Feynman,0.0,1.0,0.16958475992881447,0.028353212509337974
RILSROLS,feynman_I_13_4,0.0,Feynman,100.0,1.0,1.2644890293104089e-14,0.0
RILSROLS,feynman_I_13_4,0.001,Feynman,0.0,1.0,0.010571094540820622,0.00011174179644388923
