algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
RILSROLS,feynman_III_7_38,0.1,Feynman,10.0,0.0,9.502720328425447,4.514169337705651
RILSROLS,feynman_III_8_54,0.0,Feynman,0.0,0.0,0.354171158084073,0.11817159057568803
RILSROLS,feynman_III_8_54,0.001,Feynman,0.0,0.0,0.415247599332925,0.15907900316852452
RILSROLS,feynman_III_8_54,0.01,Feynman,0.0,0.0,0.2812812000659858,0.07614507268603066
RILSROLS,feynman_III_8_54,0.1,Feynman,0.0,0.0,0.30619691189705917,0.08961814619660348
RILSROLS,feynman_III_9_52,0.0,Feynman,0.0,0.0,4.257289087360557,2.9509707779918997
RILSROLS,feynman_III_9_52,0.001,Feynman,0.0,0.0,2.4857443523117007,1.971149648319738
RILSROLS,feynman_III_9_52,0.01,Feynman,0.0,0.0,4.254903730329398,2.9499085073768074
RILSROLS,feynman_III_9_52,0.1,Feynman,0.0,0.0,4.73355190833563,3.153014345547305
RILSROLS,feynman_II_10_9,0.0,Feynman,100.0,1.0,9.466105085209131e-17,0.0
RILSROLS,feynman_II_10_9,0.001,Feynman,100.0,1.0,9.495800630913787e-17,0.0
RILSROLS,feynman_II_10_9,0.01,Feynman,100.0,1.0,9.495800630913787e-17,0.0
RILSROLS,feynman_II_10_9,0.1,Feynman,90.0,1.0,9.466105085209131e-17,0.0
RILSROLS,feynman_II_11_20,0.0,Feynman,100.0,1.0,8.570788579054245e-08,7.327471962526006e-15
RILSROLS,feynman_II_11_20,0.001,Feynman,100.0,1.0,0.0004100725637563668,1.6815949351311314e-07
RILSROLS,feynman_II_11_20,0.01,Feynman,100.0,1.0,0.003754890771706354,1.40991053146659e-05
RILSROLS,feynman_II_11_20,0.1,Feynman,0.0,0.0,0.4918121320629217,0.21662569475656807
RILSROLS,feynman_II_11_27,0.0,Feynman,0.0,1.0,0.0077884562483163675,6.0658210985541485e-05
RILSROLS,feynman_II_11_27,0.001,Feynman,0.0,1.0,0.007798872087685664,6.082055623251609e-05
RILSROLS,feynman_II_11_27,0.01,Feynman,0.0,1.0,0.008165768255063509,6.667754819833017e-05
RILSROLS,feynman_II_11_27,0.1,Feynman,0.0,0.0,0.05177664310649804,0.002677233780662997
RILSROLS,feynman_II_11_28,0.0,Feynman,0.0,1.0,0.0010646696374590685,1.133520794500742e-06
RILSROLS,feynman_II_11_28,0.001,Feynman,0.0,1.0,0.001058861054616084,1.121186104481384e-06
RILSROLS,feynman_II_11_28,0.01,Feynman,0.0,1.0,0.003059589579665684,9.361044581283708e-06
RILSROLS,feynman_II_11_28,0.1,Feynman,0.0,0.0,0.05344206574026527,0.0028519836163057918
RILSROLS,feynman_II_11_3,0.0,Feynman,100.0,1.0,9.226599762641391e-17,0.0
RILSROLS,feynman_II_11_3,0.001,Feynman,80.0,1.0,2.891048222191455e-05,8.35816082662015e-10
RILSROLS,feynman_II_11_3,0.01,Feynman,40.0,0.5,0.0027588388965412705,7.611163092080112e-06
RILSROLS,feynman_II_11_3,0.1,Feynman,0.0,0.0,0.0049174298262254995,2.4180823737447867e-05
RILSROLS,feynman_II_13_17,0.0,Feynman,100.0,1.0,5.7206312127221e-10,0.0
RILSROLS,feynman_II_13_17,0.001,Feynman,100.0,1.0,1.3145541720399629e-06,1.7279511155251006e-12
RILSROLS,feynman_II_13_17,0.01,Feynman,100.0,1.0,1.3145664644602649e-05,1.7280843421402348e-10
RILSROLS,feynman_II_13_17,0.1,Feynman,90.0,1.0,0.00013145971782466722,1.7281657289089303e-08
RILSROLS,feynman_II_13_23,0.0,Feynman,10.0,1.0,0.005922883956198887,3.507993905026734e-05
RILSROLS,feynman_II_13_23,0.001,Feynman,0.0,1.0,0.006112864854124701,3.7366418591547635e-05
RILSROLS,feynman_II_13_23,0.01,Feynman,0.0,1.0,0.01471670213822508,0.00021655787147673304
RILSROLS,feynman_II_13_23,0.1,Feynman,0.0,0.0,0.1516168105257568,0.022727421631799638
RILSROLS,feynman_II_13_34,0.0,Feynman,0.0,1.0,0.010117382404966489,0.00010235618815501137
RILSROLS,feynman_II_13_34,0.001,Feynman,0.0,1.0,0.009426930197825692,8.886306451555636e-05
RILSROLS,feynman_II_13_34,0.01,Feynman,0.0,1.0,0.019783326059930675,0.00039130342082299344
RILSROLS,feynman_II_13_34,0.1,Feynman,0.0,0.0,0.2507510168542565,0.06097850973513559
RILSROLS,feynman_II_15_4,0.0,Feynman,100.0,1.0,3.3083922665799256e-15,0.0
RILSROLS,feynman_II_15_4,0.001,Feynman,100.0,1.0,0.00041631012231351666,1.7331410292718732e-07
RILSROLS,feynman_II_15_4,0.01,Feynman,100.0,1.0,0.004165990628524461,1.735532731247163e-05
RILSROLS,feynman_II_15_4,0.1,Feynman,0.0,0.0,0.28376948594393175,0.07744714625759384
RILSROLS,feynman_II_15_5,0.0,Feynman,100.0,1.0,3.3130930425160508e-15,0.0
RILSROLS,feynman_II_15_5,0.001,Feynman,100.0,1.0,0.00033614144582838233,1.1299106522673383e-07
RILSROLS,feynman_II_15_5,0.01,Feynman,100.0,1.0,0.003342356343803091,1.1171283529963954e-05
RILSROLS,feynman_II_15_5,0.1,Feynman,10.0,0.0,0.49404990356668,0.2184005668969003
RILSROLS,feynman_II_21_32,0.0,Feynman,60.0,1.0,1.413077669409117e-09,0.0
RILSROLS,feynman_II_21_32,0.001,Feynman,60.0,1.0,1.7445533481303973e-05,3.0434654791720536e-10
RILSROLS,feynman_II_21_32,0.01,Feynman,60.0,1.0,5.2774906966698325e-05,2.7851907408243152e-09
RILSROLS,feynman_II_21_32,0.1,Feynman,0.0,0.0,0.004007628683877343,1.6060958689941576e-05
RILSROLS,feynman_II_24_17,0.0,Feynman,0.0,1.0,0.004802176225948974,2.3060630606670136e-05
RILSROLS,feynman_II_24_17,0.001,Feynman,0.0,1.0,0.004806908603637021,2.3106103375703968e-05
RILSROLS,feynman_II_24_17,0.01,Feynman,0.0,1.0,0.01155427254247816,0.0001334923034917739
RILSROLS,feynman_II_24_17,0.1,Feynman,0.0,0.0,0.13218314338878928,0.01732149634085838
RILSROLS,feynman_II_27_16,0.0,Feynman,100.0,1.0,4.0401582316902196e-14,0.0
RILSROLS,feynman_II_27_16,0.001,Feynman,100.0,1.0,4.046240048730609e-14,0.0
RILSROLS,feynman_II_27_16,0.01,Feynman,0.0,1.0,1.0783986244198878,0.771470068568334
RILSROLS,feynman_II_27_16,0.1,Feynman,0.0,0.0,11.638063775361452,4.915918146968744
RILSROLS,feynman_II_27_18,0.0,Feynman,100.0,1.0,1.1262878484266029e-14,0.0
RILSROLS,feynman_II_27_18,0.001,Feynman,100.0,1.0,1.1262878484266029e-14,0.0
RILSROLS,feynman_II_27_18,0.01,Feynman,70.0,1.0,1.1381920549878668e-14,0.0
RILSROLS,feynman_II_27_18,0.1,Feynman,0.0,0.0,2.9967215375362017,2.3006171552274592
RILSROLS,feynman_II_2_42,0.0,Feynman,60.0,1.0,3.057190998040144e-15,0.0
RILSROLS,feynman_II_2_42,0.001,Feynman,70.0,1.0,0.0013964927942683079,1.9501902228336073e-06
RILSROLS,feynman_II_2_42,0.01,Feynman,60.0,1.0,0.017107972090874134,0.00029263988583358083
RILSROLS,feynman_II_2_42,0.1,Feynman,30.0,0.0,0.32554203082510824,0.10072966223863962
RILSROLS,feynman_II_34_11,0.0,Feynman,100.0,1.0,1.9687388161616043e-15,0.0
RILSROLS,feynman_II_34_11,0.001,Feynman,100.0,1.0,0.00022696532275887736,5.151325633270006e-08
RILSROLS,feynman_II_34_11,0.01,Feynman,100.0,1.0,0.0023077613353614315,5.325748199059e-06
RILSROLS,feynman_II_34_11,0.1,Feynman,30.0,0.0,0.4310977984850636,0.1704558636193145
RILSROLS,feynman_II_34_2,0.0,Feynman,100.0,1.0,3.98243591504744e-15,0.0
RILSROLS,feynman_II_34_2,0.001,Feynman,100.0,1.0,0.0008795727255570708,7.736478802539275e-07
RILSROLS,feynman_II_34_2,0.01,Feynman,70.0,1.0,0.01740559434112325,0.0003029088328547768
RILSROLS,feynman_II_34_2,0.1,Feynman,0.0,0.0,1.1756114749761386,0.8679666419154026
RILSROLS,feynman_II_34_29a,0.0,Feynman,100.0,1.0,7.155027726687698e-09,0.0
RILSROLS,feynman_II_34_29a,0.001,Feynman,100.0,1.0,2.0135516880047718e-05,4.054390156115966e-10
RILSROLS,feynman_II_34_29a,0.01,Feynman,100.0,1.0,0.00021276030447379572,4.526694605507698e-08
RILSROLS,feynman_II_34_29a,0.1,Feynman,80.0,1.0,0.00233372783754226,5.446270788865953e-06
RILSROLS,feynman_II_34_29b,0.0,Feynman,100.0,1.0,1.3502067813357416e-07,1.82076576038524e-14
RILSROLS,feynman_II_34_29b,0.001,Feynman,40.0,1.0,0.06199238664233571,0.003835690326999318
RILSROLS,feynman_II_34_29b,0.01,Feynman,0.0,0.0,19.16118685670864,5.908493402171685
RILSROLS,feynman_II_34_29b,0.1,Feynman,0.0,0.0,123.81697979816654,9.63767423854178
RILSROLS,feynman_II_34_2a,0.0,Feynman,100.0,1.0,1.4360834246695155e-08,2.2204460492503128e-16
RILSROLS,feynman_II_34_2a,0.001,Feynman,100.0,1.0,3.6738258629912516e-05,1.3496996844381927e-09
RILSROLS,feynman_II_34_2a,0.01,Feynman,100.0,1.0,0.00036732406866600754,1.3492696227087385e-07
RILSROLS,feynman_II_34_2a,0.1,Feynman,90.0,1.0,0.004812442403204695,2.3159333704820365e-05
RILSROLS,feynman_II_35_18,0.0,Feynman,0.0,0.0,0.013918638855053093,0.00019370974463339905
RILSROLS,feynman_II_35_18,0.001,Feynman,0.0,0.0,0.013875319408056759,0.00019250595821454202
RILSROLS,feynman_II_35_18,0.01,Feynman,0.0,0.0,0.01287354098850927,0.00016571432620541933
RILSROLS,feynman_II_35_18,0.1,Feynman,0.0,0.0,0.03192630249295994,0.0010187696687793272
RILSROLS,feynman_II_35_21,0.0,Feynman,0.0,0.0,0.49198521681302837,0.21676280040180682
RILSROLS,feynman_II_35_21,0.001,Feynman,0.0,0.0,0.28998249008705546,0.08074078201563456
RILSROLS,feynman_II_35_21,0.01,Feynman,0.0,0.0,0.5706296857741704,0.2818789455499987
RILSROLS,feynman_II_35_21,0.1,Feynman,0.0,0.0,0.9927023122491808,0.6858495579392658
RILSROLS,feynman_II_36_38,0.0,Feynman,60.0,1.0,6.012636091117451e-16,0.0
RILSROLS,feynman_II_36_38,0.001,Feynman,50.0,1.0,0.00032262445596039664,1.0408653419257899e-07
RILSROLS,feynman_II_36_38,0.01,Feynman,20.0,1.0,0.0034126770751058038,1.1646297000604432e-05
RILSROLS,feynman_II_36_38,0.1,Feynman,0.0,0.0,0.18011512739707541,0.031926346054136474
RILSROLS,feynman_II_37_1,0.0,Feynman,100.0,1.0,1.0082607523139818e-14,0.0
RILSROLS,feynman_II_37_1,0.001,Feynman,100.0,1.0,1.0082607523139818e-14,0.0
RILSROLS,feynman_II_37_1,0.01,Feynman,60.0,1.0,1.0125055763001077e-14,0.0
RILSROLS,feynman_II_37_1,0.1,Feynman,0.0,0.0,2.9551489494887133,2.275512445015678
RILSROLS,feynman_II_38_14,0.0,Feynman,100.0,1.0,8.389595066376455e-17,0.0
RILSROLS,feynman_II_38_14,0.001,Feynman,100.0,1.0,1.4516912332376155e-05,2.1074075815530197e-10
RILSROLS,feynman_II_38_14,0.01,Feynman,60.0,1.0,0.0002365754653289392,5.596794915217731e-08
RILSROLS,feynman_II_38_14,0.1,Feynman,20.0,1.0,0.0050020051647619084,2.5019742672028997e-05
RILSROLS,feynman_II_38_3,0.0,Feynman,100.0,1.0,3.9619328230663106e-15,0.0
RILSROLS,feynman_II_38_3,0.001,Feynman,100.0,1.0,3.990139581200217e-15,0.0
RILSROLS,feynman_II_38_3,0.01,Feynman,90.0,1.0,3.999371789922714e-15,0.0
RILSROLS,feynman_II_38_3,0.1,Feynman,0.0,0.0,1.352684337265406,1.0401901058848866
RILSROLS,feynman_II_3_24,0.0,Feynman,100.0,1.0,1.4365128208969008e-09,0.0
RILSROLS,feynman_II_3_24,0.001,Feynman,100.0,1.0,4.347468446842922e-06,1.8900436771040052e-11
RILSROLS,feynman_II_3_24,0.01,Feynman,90.0,1.0,3.0384530299867528e-05,9.23219722466387e-10
RILSROLS,feynman_II_3_24,0.1,Feynman,100.0,1.0,0.00029023249574475625,8.423489795068869e-08
RILSROLS,feynman_II_4_23,0.0,Feynman,100.0,1.0,9.887948123465023e-10,0.0
RILSROLS,feynman_II_4_23,0.001,Feynman,100.0,1.0,4.054361136442732e-06,1.6437740057860044e-11
RILSROLS,feynman_II_4_23,0.01,Feynman,90.0,1.0,4.059313843338815e-05,1.6478027817536471e-09
