label	label2	algorithm	dataset	target_noise	data_group	symbolic_solution_rate_(%)	accuracy_solution	rmse_test	log_mse_test
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_7_38	0.01	Feynman	50	1	0.015073784825479	0.00022719317864
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_7_38	0.1	Feynman	20	1	0.21162081871863	0.043809563367372
AFP_0_Feynman	AFP_0	AFP	feynman_III_8_54	0	Feynman	0	0	0.301696337303248	0.087113661705382
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_8_54	0.001	Feynman	0	0	0.317615106989831	0.096109275159082
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_8_54	0.01	Feynman	0	0	0.283556831444462	0.077335486447568
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_8_54	0.1	Feynman	0	0	0.292810529495795	0.082259945799004
AFP_0_Feynman	AFP_0	AFP	feynman_III_9_52	0	Feynman	0	0	6.89184351768026	3.88151239604901
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_III_9_52	0.001	Feynman	0	0	6.63282914164871	3.80653853591734
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_III_9_52	0.01	Feynman	0	0	5.86670998695321	3.5672282424492
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_III_9_52	0.1	Feynman	0	0	6.14537543452047	3.657534267441
AFP_0_Feynman	AFP_0	AFP	feynman_II_10_9	0	Feynman	0	1	0.005478038489162	3.00E-05
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_10_9	0.001	Feynman	0	1	0.00229282118096	5.26E-06
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_10_9	0.01	Feynman	30	1	0.000131598467103	1.73E-08
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_10_9	0.1	Feynman	10	1	0.004359356157608	1.90E-05
AFP_0_Feynman	AFP_0	AFP	feynman_II_11_20	0	Feynman	12.5	0	0.513595591118772	0.234107571154921
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_11_20	0.001	Feynman	0	0	0.539699416928822	0.255630459075951
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_11_20	0.01	Feynman	20	0	0.583547852409915	0.293063637856719
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_11_20	0.1	Feynman	10	0	0.666413411318045	0.367491023041719
AFP_0_Feynman	AFP_0	AFP	feynman_II_11_27	0	Feynman	0	1	0.008137362714963	6.62E-05
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_11_27	0.001	Feynman	0	1	0.019582250171427	0.000383391018047
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_11_27	0.01	Feynman	0	1	0.01792548398404	0.000321271362891
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_11_27	0.1	Feynman	0	1	0.019511970402036	0.000380644534646
AFP_0_Feynman	AFP_0	AFP	feynman_II_11_28	0	Feynman	0	1	0.001682516332103	2.83E-06
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_11_28	0.001	Feynman	0	1	0.006801574897672	4.63E-05
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_11_28	0.01	Feynman	0	1	0.004779970595903	2.28E-05
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_11_28	0.1	Feynman	0	1	0.006927824437214	4.80E-05
AFP_0_Feynman	AFP_0	AFP	feynman_II_11_3	0	Feynman	0	0	0.015283753967583	0.000233565856713
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_11_3	0.001	Feynman	0	0	0.014277604385932	0.000203829212416
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_11_3	0.01	Feynman	0	0	0.019394029690684	0.000376057669093
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_11_3	0.1	Feynman	0	0	0.015559432137149	0.00024206662794
AFP_0_Feynman	AFP_0	AFP	feynman_II_13_17	0	Feynman	0	0	0.00093559292899	8.75E-07
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_13_17	0.001	Feynman	0	0	0.001189679710395	1.42E-06
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_13_17	0.01	Feynman	0	0	0.00192177550754	3.69E-06
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_13_17	0.1	Feynman	30	1	7.98E-05	6.36E-09
AFP_0_Feynman	AFP_0	AFP	feynman_II_13_23	0	Feynman	0	1	0.012795974977528	0.00016372357219
AFP_0.001_Feynman	AFP_0.001	AFP	feynman_II_13_23	0.001	Feynman	0	1	0.01156494335467	0.000133738971342
AFP_0.01_Feynman	AFP_0.01	AFP	feynman_II_13_23	0.01	Feynman	0	1	0.008553242698855	7.32E-05
AFP_0.1_Feynman	AFP_0.1	AFP	feynman_II_13_23	0.1	Feynman	0	1	0.018605510860927	0.000346105133104
AFP_0_Feynman	AFP_0	AFP	feynman_II_13_34	0	Feynman	0	0.5	0.062862800548076	0.003943944110609
