algorithm,dataset,target_noise,data_group,symbolic_solution_rate_(%),accuracy_solution,rmse_test,log_mse_test
AFP,feynman_II_10_9,0.01,Feynman,1000.0,1.0,0.00013159846710307933,1.7318156314481635e-08
AFP,feynman_II_10_9,0.1,Feynman,1000.0,1.0,0.004359356157608312,1.9003805535311365e-05
AFP,feynman_II_11_20,0.0,Feynman,800.0,0.0,0.5135955911187723,0.23410757115492103
AFP,feynman_II_11_20,0.001,Feynman,1000.0,0.0,0.539699416928822,0.255630459075951
AFP,feynman_II_11_20,0.01,Feynman,1000.0,0.0,0.5835478524099156,0.29306363785671985
AFP,feynman_II_11_20,0.1,Feynman,1000.0,0.0,0.6664134113180455,0.3674910230417198
AFP,feynman_II_11_27,0.0,Feynman,800.0,1.0,0.0081373627149634,6.621447972789569e-05
AFP,feynman_II_11_27,0.001,Feynman,1000.0,1.0,0.019582250171426646,0.00038339101804678397
AFP,feynman_II_11_27,0.01,Feynman,1000.0,1.0,0.017925483984040202,0.000321271362890696
AFP,feynman_II_11_27,0.1,Feynman,1000.0,1.0,0.01951197040203598,0.0003806445346463196
AFP,feynman_II_11_28,0.0,Feynman,800.0,1.0,0.001682516332103482,2.830857201011972e-06
AFP,feynman_II_11_28,0.001,Feynman,1000.0,1.0,0.006801574897671893,4.6260351062004744e-05
AFP,feynman_II_11_28,0.01,Feynman,1000.0,1.0,0.004779970595902858,2.284785788345194e-05
AFP,feynman_II_11_28,0.1,Feynman,1000.0,1.0,0.006927824437213934,4.799359972167957e-05
AFP,feynman_II_11_3,0.0,Feynman,800.0,0.0,0.015283753967583403,0.00023356585671320356
AFP,feynman_II_11_3,0.001,Feynman,1000.0,0.0,0.014277604385931527,0.000203829212415799
AFP,feynman_II_11_3,0.01,Feynman,1000.0,0.0,0.019394029690683566,0.00037605766909340027
AFP,feynman_II_11_3,0.1,Feynman,1000.0,0.0,0.015559432137148985,0.00024206662794025078
AFP,feynman_II_13_17,0.0,Feynman,800.0,0.0,0.0009355929289899802,8.753337456312768e-07
AFP,feynman_II_13_17,0.001,Feynman,1000.0,0.0,0.0011896797103952334,1.4153368118033627e-06
AFP,feynman_II_13_17,0.01,Feynman,1000.0,0.0,0.0019217755075395505,3.693214281461997e-06
AFP,feynman_II_13_17,0.1,Feynman,1000.0,1.0,7.9765670617913e-05,6.362562234594681e-09
AFP,feynman_II_13_23,0.0,Feynman,800.0,1.0,0.012795974977528195,0.00016372357219002876
AFP,feynman_II_13_23,0.001,Feynman,1000.0,1.0,0.011564943354670355,0.00013373897134178074
AFP,feynman_II_13_23,0.01,Feynman,1000.0,1.0,0.008553242698854787,7.315528475233086e-05
AFP,feynman_II_13_23,0.1,Feynman,1000.0,1.0,0.018605510860926766,0.00034610513310401043
AFP,feynman_II_13_34,0.0,Feynman,800.0,0.5,0.06286280054807561,0.003943944110609424
AFP,feynman_II_13_34,0.001,Feynman,1000.0,1.0,0.030713605475191735,0.000942880909340729
AFP,feynman_II_13_34,0.01,Feynman,1000.0,1.0,0.04132734955844572,0.001706492933854378
AFP,feynman_II_13_34,0.1,Feynman,1000.0,1.0,0.04616625331376112,0.0021290548983372883
AFP,feynman_II_15_4,0.0,Feynman,800.0,1.0,0.0002938753100177598,8.636269415272334e-08
AFP,feynman_II_15_4,0.001,Feynman,1000.0,1.0,0.00012209878287812494,1.4908112633168132e-08
AFP,feynman_II_15_4,0.01,Feynman,1000.0,1.0,0.0011979961231378272,1.435193681183728e-06
AFP,feynman_II_15_4,0.1,Feynman,1000.0,1.0,0.016963641448897972,0.0002877237347628388
AFP,feynman_II_15_5,0.0,Feynman,800.0,1.0,0.0006107041870279419,3.7295953453970227e-07
AFP,feynman_II_15_5,0.001,Feynman,1000.0,1.0,0.00010149058258546738,1.0300338306976823e-08
AFP,feynman_II_15_5,0.01,Feynman,1000.0,1.0,0.0016989862478261042,2.8865501041863043e-06
AFP,feynman_II_15_5,0.1,Feynman,1000.0,1.0,0.022471451019966813,0.0005048386584605791
AFP,feynman_II_21_32,0.0,Feynman,800.0,0.0,0.006141353905466398,3.771551655321449e-05
AFP,feynman_II_21_32,0.001,Feynman,1000.0,0.0,0.008292330651542355,6.876038358520596e-05
AFP,feynman_II_21_32,0.01,Feynman,1000.0,0.0,0.006950191851270031,4.830400011245975e-05
AFP,feynman_II_21_32,0.1,Feynman,1000.0,0.0,0.0062506984943785805,3.907046840688459e-05
AFP,feynman_II_24_17,0.0,Feynman,800.0,1.0,0.018213724354713013,0.00033168474140339474
AFP,feynman_II_24_17,0.001,Feynman,1000.0,1.0,0.020360977044903535,0.0004144834760781897
